URL,Position,Domain,Title
https://sportcenterschumacher.ch/kidstennis/feriencamps/,38,sportcenterschumacher.ch,Kidstennis Feriencamps - Sportcenter Schumacher
https://chinder-lager.ch/ferienlager/herbstlager/,38,chinder-lager.ch,Herbstlager - chinder-lager.ch
https://stadt.winterthur.ch/themen/leben-in-winterthur/bildung-und-schule/schulerganzende-betreuung/ferienbetreuung,38,stadt.winterthur.ch,Ferienbetreuung - Stadt Winterthur
https://de.zis.ch/one-zis-community/vacation-and-community-programs,39,de.zis.ch,Ferien- und Community-Programme - ZIS
https://www.youngeng.ch/freizeitprogramme/camp/,39,www.youngeng.ch,Young Engineers LEGO® Camp - Freizeitprogramme
https://www.professional.ch/jobs/inserat/989616-betreuerinnen-fur-unsere-ferienwochen-1-3-wochen-pro-jahr,40,www.professional.ch,Betreuerinnen für unsere Ferienwochen (1 - 3 Wochen pro Jahr)
https://www.sfks.ch/projekte/herbstferienlager-aventura-grischun-tschamut-gr/,40,www.sfks.ch,Herbstferienlager Aventura Grischun Tschamut GR
https://www.icf.church/zuerich/de/camps/,40,www.icf.church,Camps – Echte Gemeinschaft erleben – ICF Church – Zürich
https://www.ferienplausch-uster.ch/,41,www.ferienplausch-uster.ch,Ferienplausch Bezirk Uster
https://blaueskreuz.ch/ferienlager,41,blaueskreuz.ch,Ferienlager - Blaues Kreuz Schweiz
https://www.zuerichfamilie.ch/N105706/intersoccer-fussballschule.html,41,www.zuerichfamilie.ch,InterSoccer - Zürich - Fussballschule - Fussballcamps
https://sunnemaetteli.heilsarmee.ch/,42,sunnemaetteli.heilsarmee.ch,Willkommen im Sunnemätteli - Entlastungsheim Sunnemätteli
https://futurekids.io/activities/feriencamps,42,futurekids.io,Feriencamps - Futurekids
https://www.srf.ch/news/regional/zuerich-schaffhausen/ferienlager-fiesch-wenn-700-jugendliche-an-einem-ort-ferien-machen,42,www.srf.ch,Ferienlager Fiesch - Wenn 700 Jugendliche an einem Ort ...
https://docplayer.org/209584974-Ferienbetreuung-schenken-sie-ihrem-kind-eine-auszeit-mit-profawo-zuerich-3-bis-7-mai-2021.html,43,docplayer.org,Ferienbetreuung. Schenken Sie Ihrem Kind eine Auszeit mit profawo ...
https://www.horgen.ch/dienstleistungen/30418,43,www.horgen.ch,Jugendsportcamps - Gemeinde Horgen
https://filmkids.ch/,43,filmkids.ch,Filmkids – Filmschule für Kinder und Jugendliche
https://www.ag.ch/de/verwaltung/bks/sport/jugendsportcamps,44,www.ag.ch,Jugendsportcamps - Kanton Aargau
